Domain1,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
QD,Crops processed,154,The former Yugoslav Republic of Macedonia,5510,Production,564,Wine,2013,78077,F,FAO estimate
QD,Crops processed,156,New Zealand,5510,Production,564,Wine,2013,248400,,Official data
QD,Crops processed,166,Panama,5510,Production,564,Wine,2013,112,F,FAO estimate
QD,Crops processed,167,Czech Republic,5510,Production,564,Wine,2013,50000,F,FAO estimate
QD,Crops processed,169,Paraguay,5510,Production,564,Wine,2013,1450,F,FAO estimate
QD,Crops processed,170,Peru,5510,Production,564,Wine,2013,70000,F,FAO estimate
QD,Crops processed,174,Portugal,5510,Production,564,Wine,2013,630800,,Official data
QD,Crops processed,181,Zimbabwe,5510,Production,564,Wine,2013,1750,F,FAO estimate
QD,Crops processed,182,R̩union,5510,Production,564,Wine,2013,30,F,FAO estimate
QD,Crops processed,183,Romania,5510,Production,564,Wine,2013,106042,,Official data
QD,Crops processed,185,Russian Federation,5510,Production,564,Wine,2013,573200,,Official data
QD,Crops processed,198,Slovenia,5510,Production,564,Wine,2013,25000,F,FAO estimate
QD,Crops processed,199,Slovakia,5510,Production,564,Wine,2013,32527,,Official data
QD,Crops processed,202,South Africa,5510,Production,564,Wine,2013,1097200,*,Unofficial figure
QD,Crops processed,203,Spain,5510,Production,564,Wine,2013,3200000,F,FAO estimate
QD,Crops processed,208,Tajikistan,5510,Production,564,Wine,2013,150,F,FAO estimate
QD,Crops processed,211,Switzerland,5510,Production,564,Wine,2013,83863,,Official data
QD,Crops processed,212,Syrian Arab Republic,5510,Production,564,Wine,2013,85,F,FAO estimate
QD,Crops processed,213,Turkmenistan,5510,Production,564,Wine,2013,39000,Fc,Calculated data
QD,Crops processed,222,Tunisia,5510,Production,564,Wine,2013,28500,F,FAO estimate
QD,Crops processed,223,Turkey,5510,Production,564,Wine,2013,30000,F,FAO estimate
QD,Crops processed,229,United Kingdom,5510,Production,564,Wine,2013,425,*,Unofficial figure
QD,Crops processed,230,Ukraine,5510,Production,564,Wine,2013,168247,,Official data
QD,Crops processed,231,United States of America,5510,Production,564,Wine,2013,3217000,F,FAO estimate
QD,Crops processed,234,Uruguay,5510,Production,564,Wine,2013,67000,F,FAO estimate
QD,Crops processed,235,Uzbekistan,5510,Production,564,Wine,2013,35840,,Official data
QD,Crops processed,237,Viet Nam,5510,Production,564,Wine,2013,0,M,Data not available
QD,Crops processed,238,Ethiopia,5510,Production,564,Wine,2013,1261,Fc,Calculated data
QD,Crops processed,255,Belgium,5510,Production,564,Wine,2013,2900,*,Unofficial figure
QD,Crops processed,256,Luxembourg,5510,Production,564,Wine,2013,10089,,Official data
QD,Crops processed,272,Serbia,5510,Production,564,Wine,2013,230580,,Official data
QD,Crops processed,273,Montenegro,5510,Production,564,Wine,2013,16000,F,FAO estimate
QD,Crops processed,351,China,5510,Production,564,Wine,2013,1700000,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QD,Crops processed,5000,World,5510,Production,564,Wine,2013,27421931,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QD,Crops processed,5100,Africa,5510,Production,564,Wine,2013,1225891,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QD,Crops processed,5101,Eastern Africa,5510,Production,564,Wine,2013,11391,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QD,Crops processed,5103,Northern Africa,5510,Production,564,Wine,2013,117300,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QD,Crops processed,5104,Southern Africa,5510,Production,564,Wine,2013,1097200,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QD,Crops processed,5200,Americas,5510,Production,564,Wine,2013,7044398,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QD,Crops processed,5203,Northern America,5510,Production,564,Wine,2013,3264376,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QD,Crops processed,5204,Central America,5510,Production,564,Wine,2013,18063,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QD,Crops processed,5206,Caribbean,5510,Production,564,Wine,2013,11620,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QD,Crops processed,5207,South America,5510,Production,564,Wine,2013,3750339,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QD,Crops processed,5300,Asia,5510,Production,564,Wine,2013,2052858,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QD,Crops processed,5301,Central Asia,5510,Production,564,Wine,2013,97644,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QD,Crops processed,5302,Eastern Asia,5510,Production,564,Wine,2013,1780000,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QD,Crops processed,5304,South-Eastern Asia,5510,Production,564,Wine,2013,0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QD,Crops processed,5305,Western Asia,5510,Production,564,Wine,2013,175214,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QD,Crops processed,5400,Europe,5510,Production,564,Wine,2013,15619384,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QD,Crops processed,5401,Eastern Europe,5510,Production,564,Wine,2013,1470570,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QD,Crops processed,5402,Northern Europe,5510,Production,564,Wine,2013,8368,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QD,Crops processed,5403,Southern Europe,5510,Production,564,Wine,2013,8669970,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QD,Crops processed,5404,Western Europe,5510,Production,564,Wine,2013,5470476,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QD,Crops processed,5500,Oceania,5510,Production,564,Wine,2013,1479400,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QD,Crops processed,5501,Australia & New Zealand,5510,Production,564,Wine,2013,1479400,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QD,Crops processed,5706,European Union,5510,Production,564,Wine,2013,14310120,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QD,Crops processed,5801,Least Developed Countries,5510,Production,564,Wine,2013,9611,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QD,Crops processed,5802,Land Locked Developing Countries,5510,Production,564,Wine,2013,322971,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QD,Crops processed,5803,Small Island Developing States,5510,Production,564,Wine,2013,11620,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QD,Crops processed,5815,Low Income Food Deficit Countries,5510,Production,564,Wine,2013,49188,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QD,Crops processed,5817,Net Food Importing Developing Countries,5510,Production,564,Wine,2013,159381,A,"Aggregate, may include official, semi-official, estimated or calculated data"
,,,,,,,,,,,
FAOSTAT Date: Mon Oct 19 02:51:16 CEST 2015,,,,,,,,,,,
